Date,Action,Symbol,Description,Quantity,Price,fees_and_comm,Amount,
10/14/24,Sell to Open,ASTS 10/18/2024 25.50 C,CALL AST SPACEMOBILE INC$25.5 EXP 10/18/24,3,1.08,2,322,
10/14/2024 as of 10/11/2024,Expired,ASTS 10/11/2024 26.50 C,CALL AST SPACEMOBILE INC$26.5 EXP 10/11/24,3,,,,
10/8/24,Sell to Open,ASTS 10/11/2024 26.50 C,CALL AST SPACEMOBILE INC$26.5 EXP 10/11/24,3,0.55,1.99,163.01,
10/8/24,Buy,ONON,ON HLDG AG FCLASS A,300,52.31,,-15693,
10/8/24,Sell to Open,ONON 10/18/2024 55.00 C,CALL ON HLDG AG $55 EXP 10/18/24,3,0.55,1.99,163.01,
10/8/24,Sell to Close,ONON 01/17/2025 50.00 C,CALL ON HLDG AG $50 EXP 01/17/25,10,6.82,6.83,6813.17,
10/8/24,Buy,JXN,JACKSON FINL INC CLASS A,100,97.9,,-9790,
10/8/24,Sell to Open,JXN 10/18/2024 105.00 C,CALL JACKSON FINL INC $105 EXP 10/18/24,1,0.37,0.66,36.34,
10/07/2024 as of 10/04/2024,Expired,ASTS 10/04/2024 28.00 C,CALL AST SPACEMOBILE INC$28 EXP 10/04/24,3,,,,
9/30/24,Sell to Close,RKLB 01/17/2025 7.00 C,CALL ROCKET LAB USA INC $7 EXP 01/17/25,45,3.31,30.28,14862.72,
9/27/24,Credit Interest,,SCHWAB1 INT 08/29-09/26,,,,0.38,
9/27/24,Buy,ASTS,AST SPACEMOBILE INC CLASS A,300,25.37,,-7610.94,
9/27/24,Sell to Open,ASTS 10/04/2024 28.00 C,CALL AST SPACEMOBILE INC$28 EXP 10/04/24,3,0.8,2,238,
9/24/24,Buy to Open,ONON 01/17/2025 50.00 C,CALL ON HLDG AG $50 EXP 01/17/25,10,5.7,6.61,-5706.61,
9/19/24,Sell to Close,ASTS 01/17/2025 50.00 C,CALL AST SPACEMOBILE INC$50 EXP 01/17/25,22,3.13,14.79,6861.21,
9/18/24,Sell to Close,NVDA 09/27/2024 133.00 C,CALL NVIDIA CORP $133 EXP 09/27/24,5,0.21,3.31,101.69,
9/18/24,Sell to Close,NVDA 09/20/2024 132.00 C,CALL NVIDIA CORP $132 EXP 09/20/24,10,0.04,6.64,33.36,
