Account,user_id,Symbol,Description,Quantity,Price,price_change_dollar,price_change_percent,market_value,day_change_dollar,day_change_percent,cost_bases,gain_or_loss_dollat,gain_or_loss_percent,rating,divident_reinvestment,is_capital_gain,percent_of_account,expiration_date,cost_per_share,last_earnings_date,dividend_yield,last_dividend,ex_dividend_date,pe_ratio,annual_week_low,annual_week_high,volume,intrinsic_value,in_the_money,security_type,margin_requirement
Demo Account,,AAPL,APPLE INC,50,228.50,1.25,0.55%,"$11,425.00",$62.50,0.55%,"$11,277.50",$147.50,1.31%,--,No,,9.8%,-,$225.55,,0.52%,0.25,11/07/2025,,$198.00,$245.00,45000000,-,-,Equity,$5700.00
Demo Account,,NVDA,NVIDIA CORP,100,142.30,2.10,1.50%,"$14,230.00",$210.00,1.50%,"$12,000.00","$2,230.00",18.58%,--,No,,12.2%,-,$120.00,,0.03%,0.04,12/06/2025,,$95.00,$160.00,55000000,-,-,Equity,$7115.00
Demo Account,,META,META PLATFORMS INC,100,565.00,-3.20,-0.56%,"$56,500.00",-$320.00,-0.56%,"$55,000.00","$1,500.00",2.73%,--,No,,48.5%,-,$550.00,,0.52%,0.83,11/27/2025,,$480.00,$640.00,18000000,-,-,Equity,$28250.00
Demo Account,,COST,COSTCO WHOLESALE CORP,20,835.00,2.50,0.30%,"$16,700.00",$50.00,0.30%,"$16,300.00",$400.00,2.45%,--,No,,14.3%,-,$815.00,,0.58%,0.91,11/08/2025,,$750.00,$890.00,2500000,-,-,Equity,$8350.00
Demo Account,,GOOGL,ALPHABET INC CLASS A,100,178.50,0.85,0.48%,"$17,850.00",$85.00,0.48%,"$17,500.00",$350.00,2.00%,--,No,,15.3%,-,$175.00,,0.55%,0.20,12/06/2025,,$155.00,$195.00,22000000,-,-,Equity,$8925.00
Demo Account,,PLTR 01/15/2027 80.00 C,CALL PALANTIR TECHNOLOGI$80 EXP 01/15/27,2,42.00,1.50,3.70%,"$8,400.00",$300.00,3.70%,"$8,001.32",$398.68,4.98%,-,,,7.2%,01/15/2027,$40.01,,--,--,,,$11.31,$105.60,10000,$26.00,ITM,Option,-
Demo Account,,NVDA 05/08/2026 210.00 C,CALL NVIDIA CORP $210 EXP 05/08/26,-1,0.55,-0.25,-31.25%,-$55.00,$25.00,31.25%,$148.66,$93.66,62.99%,-,,,0.1%,05/08/2026,$1.50,,--,--,,,$0.10,$5.00,5000,$0.00,OTM,Option,-
Demo Account,,META 05/08/2026 625.00 C,CALL META PLATFORMS INC $625 EXP 05/08/26,-1,2.40,-0.80,-25.00%,-$240.00,$80.00,25.00%,$348.68,$108.68,31.17%,-,,,0.2%,05/08/2026,$3.50,,--,--,,,$0.40,$18.00,2500,$0.00,OTM,Option,-
Demo Account,,AAPL 05/22/2026 260.00 P,PUT APPLE INC $260 EXP 05/22/26,-1,1.55,-0.45,-22.50%,-$155.00,$45.00,22.50%,$208.68,$53.68,25.72%,-,,,0.1%,05/22/2026,$2.10,,--,--,,,$0.50,$8.00,3500,$0.00,OTM,Option,-
Demo Account,,Cash & Cash Investments,--,--,--,--,--,"$1,932.04",$0.00,0%,--,--,--,--,--,--,1.7%,--,--,--,--,--,--,--,--,--,--,--,--,Cash and Money Market,--
Demo Account,,Account Total,,--,--,--,--,"$116,672.04",$202.50,0.17%,"$110,553.16","$6,118.88",5.54%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
