account,transaction_date,action,symbol,description,quantity,price,fees,amount
Schwab Account,,Other,,,0,,,134.32
Schwab Account,,Other,,,0,,,-8167.96
Schwab Account,,Other,,,0,,,2583.97
Schwab Account,,Other,,,0,,,0.38
Schwab Account,,Other,,,0,,,1390.09
Schwab Account,,Other,,,0,,,433.36
Schwab Account,,Other,,,0,,,168.67
Schwab Account,,Other,,,0,,,168.68
Schwab Account,,Other,,,0,,,139.34
Schwab Account,,Other,,,0,,,3450.26
Schwab Account,,Other,,,0,,,-5891.52
Schwab Account,,Other,,,0,,,-760.66
Schwab Account,,Other,,,0,,,769.34
Schwab Account,,Other,,,0,,,-14010.0
Schwab Account,,Other,,,0,,,337.34
Schwab Account,09/19/2025,Other,,,0,,,10499.98
Schwab Account,,Other,,,0,,,-2313.97
Schwab Account,,Other,,,0,,,-11184.17
Schwab Account,,Other,,,0,,,-16.15
Schwab Account,,Other,,,0,,,195.34
Schwab Account,,Other,,,0,,,-183.66
Schwab Account,,Other,,,0,,,1480.09
Schwab Account,,Other,,,0,,,-5784.91
Schwab Account,,Other,,,0,,,205.34
Schwab Account,,Other,,,0,,,-9590.0
Schwab Account,,Other,,,0,,,-132.5
Schwab Account,,Other,,,0,,,57266.81
Schwab Account,,Other,,,0,,,239.34
Schwab Account,,Other,,,0,,,-8932.0
Schwab Account,,Other,,,0,,,-462.0
Schwab Account,,Other,,,0,,,-154.0
Schwab Account,,Other,,,0,,,-3080.0
Schwab Account,,Other,,,0,,,1.0
Schwab Account,,Other,,,0,,,-45033.05
Schwab Account,,Other,,,0,,,148.0
Schwab Account,,Other,,,0,,,99.98
Schwab Account,,Other,,,0,,,-6458.66
Schwab Account,,Other,,,0,,,-4988.49
Schwab Account,,Other,,,0,,,5754.49
Schwab Account,,Other,,,0,,,575.4
Schwab Account,,Other,,,0,,,210.34
Schwab Account,,Other,,,0,,,-2.01
Schwab Account,,Other,,,0,,,-30.94
Schwab Account,,Other,,,0,,,201.34
Schwab Account,,Other,,,0,,,-9915.03
Schwab Account,,Other,,,0,,,13330.09
Schwab Account,,Other,,,0,,,689.34
Schwab Account,,Other,,,0,,,-138.66
Schwab Account,,Other,,,0,,,-3466.52
Schwab Account,,Other,,,0,,,-3466.53
Schwab Account,,Other,,,0,,,-1256.95
Schwab Account,,Other,,,0,,,-139.66
Schwab Account,,Other,,,0,,,-1396.61
Schwab Account,,Other,,,0,,,7.39
Schwab Account,,Other,,,0,,,22.46
Schwab Account,,Other,,,0,,,182.73
Schwab Account,,Other,,,0,,,16814.83
Schwab Account,11/28/2025,Other,,,0,,,5599.98
Schwab Account,,Other,,,0,,,266.01
Schwab Account,,Other,,,0,,,44.34
Schwab Account,12/05/2025,Other,,,0,,,16799.88
Schwab Account,,Other,,,0,,,-19160.0
Schwab Account,,Other,,,0,,,-10009.15
Schwab Account,,Other,,,0,,,-14976.18
Schwab Account,,Other,,,0,,,-3433.05
Schwab Account,,Other,,,0,,,-325.66
Schwab Account,,Other,,,0,,,-810.64
Schwab Account,,Other,,,0,,,-4053.22
Schwab Account,,Other,,,0,,,137.34
Schwab Account,,Other,,,0,,,99.34
Schwab Account,,Other,,,0,,,-18016.27
Schwab Account,,Other,,,0,,,278.67
Schwab Account,,Other,,,0,,,-11155.32
Schwab Account,,Other,,,0,,,-1430.66
Schwab Account,,Other,,,0,,,-1628.31
Schwab Account,,Other,,,0,,,6298.61
Schwab Account,,Other,,,0,,,3015.7
Schwab Account,,Other,,,0,,,55966.81
Schwab Account,,Other,,,0,,,-1628.3
Schwab Account,,Other,,,0,,,-1953.97
Schwab Account,,Other,,,0,,,-1302.64
Schwab Account,,Other,,,0,,,-976.98
Schwab Account,,Other,,,0,,,-9220.95
Schwab Account,,Other,,,0,,,197.35
Schwab Account,,Other,,,0,,,3586.72
Schwab Account,,Other,,,0,,,-10916.61
Schwab Account,,Other,,,0,,,329.33
Schwab Account,,Other,,,0,,,329.32
Schwab Account,,Other,,,0,,,3303.28
Schwab Account,,Other,,,0,,,660.65
Schwab Account,,Other,,,0,,,2312.29
Schwab Account,,Other,,,0,,,1981.95
Schwab Account,,Other,,,0,,,1981.98
Schwab Account,,Other,,,0,,,1321.29
Schwab Account,,Other,,,0,,,-1490.95
Schwab Account,,Other,,,0,,,1321.31
Schwab Account,,Other,,,0,,,330.34
Schwab Account,,Other,,,0,,,330.32
Schwab Account,,Other,,,0,,,-3228.3
Schwab Account,,Other,,,0,,,35.03
Schwab Account,,Other,,,0,,,-165.66
Schwab Account,,Other,,,0,,,330.33
Schwab Account,,Other,,,0,,,238.0
Schwab Account,,Other,,,0,,,3740.57
Schwab Account,,Other,,,0,,,444.32
Schwab Account,,Other,,,0,,,386.0
Schwab Account,,Other,,,0,,,257.34
Schwab Account,,Other,,,0,,,774.65
Schwab Account,,Other,,,0,,,774.66
Schwab Account,,Other,,,0,,,-32.66
Schwab Account,,Other,,,0,,,162.34
Schwab Account,,Other,,,0,,,-728.3
Schwab Account,,Other,,,0,,,-2540.46
Schwab Account,,Other,,,0,,,-6706.61
Schwab Account,,Other,,,0,,,-853.22
Schwab Account,,Other,,,0,,,-2030.66
Schwab Account,,Other,,,0,,,97.35
Schwab Account,,Other,,,0,,,2266.66
Schwab Account,,Other,,,0,,,-3113.22
Schwab Account,,Other,,,0,,,7143.16
Schwab Account,,Other,,,0,,,1793.31
Schwab Account,,Other,,,0,,,888.65
Schwab Account,,Other,,,0,,,-13.64
Schwab Account,,Other,,,0,,,-68.66
Schwab Account,,Other,,,0,,,114.39
Schwab Account,,Other,,,0,,,-9700.0
Schwab Account,,Other,,,0,,,-2026.61
Schwab Account,,Other,,,0,,,-607.99
Schwab Account,,Other,,,0,,,-202.66
Schwab Account,,Other,,,0,,,10867.24
Schwab Account,,Other,,,0,,,356.34
Schwab Account,,Other,,,0,,,17460.47
Schwab Account,,Other,,,0,,,-27391.52
Schwab Account,,Other,,,0,,,15602.83
Schwab Account,,Other,,,0,,,11054.25
Schwab Account,,Other,,,0,,,5796.69
Schwab Account,,Other,,,0,,,5796.67
Schwab Account,,Other,,,0,,,1159.34
Schwab Account,,Other,,,0,,,4637.35
Schwab Account,,Other,,,0,,,-24848.18
Schwab Account,,Other,,,0,,,275.35
Schwab Account,,Other,,,0,,,-10204.5
Schwab Account,,Other,,,0,,,561.34
Schwab Account,,Other,,,0,,,-13830.2
Schwab Account,,Other,,,0,,,285.99
Schwab Account,,Other,,,0,,,2173.47
Schwab Account,,Other,,,0,,,1601.51
Schwab Account,,Other,,,0,,,285.98
Schwab Account,,Other,,,0,,,1143.94
Schwab Account,,Other,,,0,,,571.97
Schwab Account,,Other,,,0,,,171.59
Schwab Account,,Other,,,0,,,571.96
Schwab Account,,Other,,,0,,,-14939.55
Schwab Account,,Other,,,0,,,11924.7
Schwab Account,,Other,,,0,,,7547.98
Schwab Account,,Other,,,0,,,-2967.51
Schwab Account,,Other,,,0,,,-22135.4
Schwab Account,,Other,,,0,,,11233.41
Schwab Account,,Other,,,0,,,-2529.91
Schwab Account,,Other,,,0,,,-8939.04
Schwab Account,,Other,,,0,,,18460.02
Schwab Account,,Other,,,0,,,-645.66
Schwab Account,,Other,,,0,,,130.34
Schwab Account,,Other,,,0,,,2.68
Schwab Account,,Other,,,0,,,4458.54
Schwab Account,,Other,,,0,,,219.34
Schwab Account,,Other,,,0,,,479.34
Schwab Account,,Other,,,0,,,-805.0
Schwab Account,,Other,,,0,,,-26.45
Schwab Account,,Other,,,0,,,-21.85
Schwab Account,,Other,,,0,,,-667.0
Schwab Account,,Other,,,0,,,-51.75
Schwab Account,,Other,,,0,,,-3027.95
Schwab Account,,Other,,,0,,,-3189.81
Schwab Account,,Other,,,0,,,-441.96
Schwab Account,,Other,,,0,,,-441.97
Schwab Account,,Other,,,0,,,-368.3
Schwab Account,,Other,,,0,,,499.01
Schwab Account,,Other,,,0,,,4232.86
Schwab Account,,Other,,,0,,,5093.36
Schwab Account,,Other,,,0,,,-390.67
Schwab Account,,Other,,,0,,,-1953.3
Schwab Account,,Other,,,0,,,4739.9
Schwab Account,,Other,,,0,,,-75.67
Schwab Account,,Other,,,0,,,-1589.24
Schwab Account,,Other,,,0,,,1941.38
Schwab Account,,Other,,,0,,,2062.72
Schwab Account,,Other,,,0,,,184.34
Schwab Account,,Other,,,0,,,-75.66
Schwab Account,,Other,,,0,,,-50.66
Schwab Account,,Other,,,0,,,18807.95
Schwab Account,,Other,,,0,,,-1059.26
Schwab Account,,Other,,,0,,,-3484.0
Schwab Account,,Other,,,0,,,619.34
Schwab Account,,Other,,,0,,,7355.83
Schwab Account,,Other,,,0,,,-390.66
Schwab Account,,Other,,,0,,,-5305.66
Schwab Account,,Other,,,0,,,-3959.94
Schwab Account,,Other,,,0,,,1124.34
Schwab Account,,Other,,,0,,,-736.61
Schwab Account,,Other,,,0,,,-470.66
Schwab Account,,Other,,,0,,,-6741.0
Schwab Account,,Other,,,0,,,-4981.15
Schwab Account,,Other,,,0,,,1943.5
Schwab Account,,Other,,,0,,,1469.34
Schwab Account,,Other,,,0,,,-3460.66
Schwab Account,,Other,,,0,,,-1610.66
Schwab Account,,Other,,,0,,,3779.34
Schwab Account,,Other,,,0,,,-1240.66
Schwab Account,,Other,,,0,,,-195.97
Schwab Account,,Other,,,0,,,-195.96
Schwab Account,,Other,,,0,,,2.66
Schwab Account,,Other,,,0,,,119.34
Schwab Account,,Other,,,0,,,4654.2
Schwab Account,,Other,,,0,,,-915.97
Schwab Account,,Other,,,0,,,-305.32
Schwab Account,,Other,,,0,,,-457.98
Schwab Account,,Other,,,0,,,-2900.56
Schwab Account,,Other,,,0,,,-557.66
Schwab Account,,Other,,,0,,,7639.34
Schwab Account,,Other,,,0,,,-25.66
